ID,Team,AfterTimeOuts(ATO),HalfCourtSetAll,HalfCourtSetAll-NoPts,HalfCourtSetAll-Pts,HalfCourtSetvs.Zone-NoPts,HalfCourtSetvs.Man,HalfCourtSetvs.Man-NoPts,HalfCourtSetvs.Man-Pts,HalfCourtSetvs.Zone,HalfCourtSetvs.Zone-Pts,Last4Sec.ofShotClock,OutofBounds,OutofBounds(End),OutofBounds(Side),TotalPoints,Win,Season,AllPushBall,PressOffense,PushBallfromShotAttempt,PushBallfromTurnover,PushBalltoHalfCourtOff.,TransitionOffense,TransitionTurnover,2FGAttempts,2FGMade,2FGMissed,3FGAttempts,3FGMade,3FGMissed,AllFreeThrows,FGAttempts,FGMade,FGMissed,GuardedJumpShots,Unguarded Jump Shots,LiveFreeThrows,LongJumpShots,MediumJumpShots,ShortJumpShots,AllIsolation,AllOffensiveRebounds,AllP&RBallHandler,AllPossessionClips,AllPost-Up,Cuts,Handoffs,Isolation-DefenseCommits,Isolation-SingleCovered,MiscellaneousPossessions,OffScreens,Off.Reb.-PutBacks,Off.Reb.-ResetOffense,P&RBallHandler-DefenseCommits,P&RBallHandler-SingleCovered,P&RBallHandler-Traps,P&RRollMan,Post-Up-DefenseCommits,Post-Up-HardDoubleTeam,Post-Up-SingleCovered,SpotUps,Transitions,Assists,Blocks,DefensiveRebounds,NoPoints,NonPossessions,OffensiveRebounds,Points,Steals,StolenPossessions,TotalRebounds,Turnovers
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233558,Lakehead University Thunderwolves,11,79,55,24,4,73,51,22,6,2,7,10,5,5,73,1,2015-2016,27,22,24,3,13,12,2,43,17,26,20,7,13,25,63,24,39,11,8,13,21,2,2,8,16,10,93,15,8,2,4,4,12,1,12,4,7,3,0,2,1,4,10,21,14,7,3,34,60,38,13,34,4,5,47,12
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233559,Algoma Thunderbirds,6,81,59,22,1,80,58,22,1,0,10,13,6,7,60,0,2015-2016,23,5,18,5,8,13,2,46,14,32,24,7,17,23,70,21,49,12,4,10,24,6,11,13,17,16,96,8,5,2,3,10,8,15,7,10,8,8,0,3,2,0,6,13,15,9,5,23,67,44,16,30,3,4,39,9
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233559,Guelph Gryphons,7,73,44,29,9,60,35,25,13,4,9,9,8,1,80,1,2015-2016,28,12,26,2,14,14,0,47,21,26,18,8,10,20,65,29,36,11,2,12,18,7,3,12,10,15,87,9,9,0,5,7,10,0,5,5,7,7,1,3,3,1,5,24,14,14,3,25,49,36,10,38,4,3,35,6
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233560,Algoma Thunderbirds,9,76,40,36,1,73,39,34,3,2,8,8,2,6,96,1,2015-2016,20,2,16,4,1,14,5,41,20,21,30,13,17,23,71,33,38,23,4,11,30,6,8,5,14,16,95,12,5,3,1,4,7,12,6,8,8,7,1,4,4,1,7,20,19,16,3,24,53,39,10,44,9,6,34,13
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233560,Waterloo Warriors,10,65,42,23,1,63,41,22,2,1,4,9,4,5,68,0,2015-2016,22,13,15,7,1,17,4,40,17,23,23,9,14,12,63,26,37,11,3,8,23,4,7,12,7,20,86,8,2,3,2,10,4,4,4,3,6,12,2,3,3,0,5,13,21,5,1,21,57,26,6,29,6,9,27,14
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233561,Algoma Thunderbirds,8,76,47,29,0,76,47,29,0,0,14,12,4,8,81,1,2015-2016,26,3,17,9,9,17,0,45,19,26,24,8,16,32,69,27,42,18,3,15,24,9,5,11,10,10,93,8,7,1,3,8,9,12,5,5,6,4,0,2,1,1,6,21,17,7,2,20,53,44,8,40,12,4,28,6
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233561,Waterloo Warriors,9,80,56,24,0,79,56,23,1,1,10,8,2,6,68,0,2015-2016,34,23,30,4,17,17,0,45,20,25,18,6,12,19,63,26,37,11,1,11,18,6,4,12,15,16,97,11,1,2,1,11,15,3,9,6,6,9,1,3,0,3,8,14,17,8,3,29,65,37,15,32,4,12,44,18
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233564,Algoma Thunderbirds,10,76,53,23,4,72,49,23,4,0,8,10,7,3,67,0,2015-2016,31,2,21,10,9,19,3,48,16,32,28,7,21,19,76,23,53,9,8,9,28,4,11,12,17,16,98,10,5,4,3,9,3,9,5,12,9,7,0,0,3,0,7,24,22,11,2,24,66,38,14,32,12,8,38,11
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233564,York (ONT) Lions,8,75,52,23,9,62,43,19,13,4,8,16,11,5,68,1,2015-2016,34,5,27,7,12,17,5,45,16,29,21,5,16,27,66,21,45,14,8,14,22,2,1,12,20,9,97,3,8,3,3,9,9,3,12,8,5,4,0,2,1,0,2,21,22,9,3,30,64,50,14,33,8,12,44,11
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233566,Windsor Lancers,8,70,37,33,8,60,29,31,10,2,1,5,4,1,80,1,2015-2016,22,9,17,5,7,12,3,34,15,19,29,12,17,20,63,27,36,12,14,11,30,4,3,9,11,18,85,5,5,4,5,4,10,1,5,6,11,7,0,6,1,0,4,23,15,18,2,21,50,34,9,35,10,6,30,12
